																																																						-0.041026	-0.041028	-0.039491	-0.037797	-0.037102	-0.036832	-0.036596	-0.036161	-0.035327	-0.034181	-0.032807	-0.031270	-0.029626	-0.027850	-0.025920	-0.023821	-0.021477	-0.018686	-0.015793	-0.013223	-0.011325	-0.009909	-0.008879	-0.008195	-0.007867	-0.008074	-0.008567	-0.009035	-0.009233	-0.009334	-0.009353	-0.009250	-0.008953	-0.008342	-0.007649	-0.007151	-0.007059	-0.007187	-0.007572	-0.008310	-0.009583	-0.011690	-0.014050	-0.015966	-0.016825	-0.016831	-0.016324	-0.015599	-0.014894	-0.014061	-0.013060	-0.011890																																																						
																																																				-0.036048	-0.039405	-0.040949	-0.040965	-0.040128	-0.039059	-0.038254	-0.037364	-0.036359	-0.035311	-0.034305	-0.033382	-0.032402	-0.031207	-0.029659	-0.027808	-0.025724	-0.023467	-0.021011	-0.018077	-0.015063	-0.012470	-0.010732	-0.009690	-0.009123	-0.008849	-0.008773	-0.009171	-0.009769	-0.010200	-0.010144	-0.009722	-0.009092	-0.008382	-0.007666	-0.006763	-0.005842	-0.005130	-0.004789	-0.004622	-0.004730	-0.005282	-0.006517	-0.008711	-0.011256	-0.013434	-0.014632	-0.015098	-0.015114	-0.014898	-0.014579	-0.013897	-0.013069	-0.012405	-0.012124	-0.011965																																																				
																																																			-0.038432	-0.039177	-0.039690	-0.039911	-0.039888	-0.039617	-0.039080	-0.038215	-0.036876	-0.035319	-0.033856	-0.032793	-0.032152	-0.031598	-0.030772	-0.029364	-0.027486	-0.025299	-0.022936	-0.020420	-0.017404	-0.014328	-0.011757	-0.010197	-0.009532	-0.009410	-0.009505	-0.009602	-0.010050	-0.010598	-0.010878	-0.010554	-0.009686	-0.008531	-0.007339	-0.006288	-0.005166	-0.004077	-0.003200	-0.002643	-0.002205	-0.002045	-0.002390	-0.003525	-0.005683	-0.008267	-0.010585	-0.012054	-0.012953	-0.013492	-0.013805	-0.013920	-0.013505	-0.012973	-0.012859	-0.013629	-0.015142	-0.017119	-0.019312																																																		
																																																		-0.041171	-0.040807	-0.039989	-0.039149	-0.038677	-0.038480	-0.038292	-0.037866	-0.036943	-0.035452	-0.033746	-0.032212	-0.031235	-0.030857	-0.030637	-0.030101	-0.028835	-0.026985	-0.024770	-0.022375	-0.019860	-0.016833	-0.013757	-0.011232	-0.009816	-0.009434	-0.009628	-0.009943	-0.010047	-0.010306	-0.010563	-0.010545	-0.009992	-0.008912	-0.007554	-0.006176	-0.004967	-0.003717	-0.002518	-0.001529	-0.000843	-0.000254	0.000056	-0.000166	-0.001218	-0.003299	-0.005845	-0.008209	-0.009853	-0.011059	-0.011989	-0.012725	-0.013257	-0.013271	-0.013195	-0.013576	-0.014912	-0.017121	-0.019813	-0.022605	-0.025475																																																	
																																																	-0.039743	-0.040140	-0.039582	-0.038459	-0.037296	-0.036542	-0.036013	-0.035506	-0.034864	-0.033913	-0.032575	-0.031129	-0.029888	-0.029189	-0.029143	-0.029266	-0.029015	-0.027915	-0.026111	-0.023885	-0.021484	-0.019020	-0.016062	-0.013073	-0.010670	-0.009443	-0.009392	-0.009927	-0.010431	-0.010408	-0.010190	-0.009830	-0.009282	-0.008486	-0.007389	-0.006122	-0.004836	-0.003632	-0.002354	-0.001109	-0.000059	0.000704	0.001386	0.001805	0.001705	0.000802	-0.001050	-0.003371	-0.005620	-0.007350	-0.008817	-0.010125	-0.011310	-0.012345	-0.013034	-0.013664	-0.014594	-0.016152	-0.018279	-0.020726	-0.023250	-0.025897	-0.029622	-0.033106																																															
																																																-0.034083	-0.035751	-0.036484	-0.036258	-0.035458	-0.034492	-0.033681	-0.032776	-0.031789	-0.030804	-0.029867	-0.028850	-0.027879	-0.027122	-0.026801	-0.027117	-0.027579	-0.027617	-0.026719	-0.025022	-0.022855	-0.020516	-0.018159	-0.015328	-0.012477	-0.010223	-0.009176	-0.009412	-0.010219	-0.010831	-0.010592	-0.009772	-0.008668	-0.007505	-0.006469	-0.005446	-0.004403	-0.003339	-0.002229	-0.000992	0.000239	0.001300	0.002095	0.002826	0.003320	0.003335	0.002615	0.001078	-0.000910	-0.002942	-0.004690	-0.006362	-0.008009	-0.009619	-0.011169	-0.012622	-0.014050	-0.015538	-0.017152	-0.018841	-0.020606	-0.022468	-0.024616	-0.027640	-0.030563	-0.032191																																														
																																															-0.026079	-0.028750	-0.030980	-0.032044	-0.032242	-0.031899	-0.031263	-0.030488	-0.029288	-0.027891	-0.026620	-0.025738	-0.025067	-0.024583	-0.024312	-0.024358	-0.024995	-0.025754	-0.026064	-0.025417	-0.023945	-0.021979	-0.019824	-0.017639	-0.014970	-0.012263	-0.010123	-0.009163	-0.009500	-0.010365	-0.010918	-0.010413	-0.009049	-0.007306	-0.005625	-0.004384	-0.003428	-0.002585	-0.001728	-0.000727	0.000431	0.001600	0.002623	0.003404	0.004133	0.004653	0.004743	0.004184	0.002946	0.001287	-0.000510	-0.002226	-0.004018	-0.005898	-0.007825	-0.009794	-0.011907	-0.014035	-0.016007	-0.017651	-0.018925	-0.020058	-0.021300	-0.022965	-0.025313	-0.027683	-0.029311	-0.029598																																													
																																														-0.019730	-0.021852	-0.024622	-0.027021	-0.028198	-0.028574	-0.028439	-0.027966	-0.027229	-0.025923	-0.024380	-0.023039	-0.022263	-0.021860	-0.021723	-0.021798	-0.022119	-0.022979	-0.023954	-0.024510	-0.024182	-0.023124	-0.021595	-0.019818	-0.017887	-0.015395	-0.012791	-0.010663	-0.009604	-0.009705	-0.010253	-0.010475	-0.009670	-0.007974	-0.005908	-0.003969	-0.002588	-0.001603	-0.000799	-0.000007	0.000932	0.001997	0.003058	0.003983	0.004696	0.005359	0.005833	0.005924	0.005447	0.004401	0.002972	0.001358	-0.000285	-0.002069	-0.004001	-0.006054	-0.008251	-0.010765	-0.013343	-0.015666	-0.017431	-0.018632	-0.019581	-0.020604	-0.022040	-0.023982	-0.025967	-0.027487	-0.028222	-0.028750																																												
																																													-0.015253	-0.015640	-0.017598	-0.020156	-0.022412	-0.023620	-0.024190	-0.024322	-0.024096	-0.023505	-0.022255	-0.020746	-0.019486	-0.018905	-0.018809	-0.019028	-0.019442	-0.020021	-0.021040	-0.022162	-0.022954	-0.023056	-0.022668	-0.021882	-0.020734	-0.019168	-0.016881	-0.014333	-0.012095	-0.010713	-0.010175	-0.009951	-0.009492	-0.008291	-0.006414	-0.004279	-0.002302	-0.000841	0.000240	0.001118	0.001937	0.002828	0.003761	0.004644	0.005393	0.005958	0.006458	0.006783	0.006783	0.006316	0.005383	0.004125	0.002685	0.001185	-0.000427	-0.002204	-0.004180	-0.006447	-0.009199	-0.012087	-0.014687	-0.016609	-0.017909	-0.018902	-0.019901	-0.021212	-0.022860	-0.024505	-0.025783	-0.026490	-0.027124	-0.027225																																											
																																												-0.011526	-0.010964	-0.011648	-0.013406	-0.015574	-0.017510	-0.018699	-0.019469	-0.019899	-0.019969	-0.019583	-0.018478	-0.017101	-0.016000	-0.015643	-0.015840	-0.016377	-0.017089	-0.017889	-0.019015	-0.020237	-0.021244	-0.021810	-0.022187	-0.022264	-0.021848	-0.020702	-0.018651	-0.016166	-0.013790	-0.012003	-0.010663	-0.009481	-0.008199	-0.006572	-0.004593	-0.002516	-0.000611	0.000893	0.002087	0.003080	0.003958	0.004797	0.005568	0.006234	0.006762	0.007142	0.007439	0.007577	0.007453	0.006969	0.006125	0.005019	0.003758	0.002441	0.001075	-0.000449	-0.002244	-0.004475	-0.007329	-0.010392	-0.013175	-0.015246	-0.016726	-0.017887	-0.018973	-0.020224	-0.021656	-0.023009	-0.024005	-0.024474	-0.024739	-0.024540																																											
