Intensity (Arbitrary Unity)
Acquisition 	2020/10/14 14:47:42.084
Save 	2020/10/14 21:54:17.685

ASO Size : 40 x 32; ASO Step : 114.077560 um x 114.052567 um
Area Size : 160 x 128; Area Step : 28.519390 um x 28.513142 um
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																															0.295704	0.310990	0.325878	0.337807	0.348362	0.357991	0.366681	0.374677	0.382867	0.389822	0.393781	0.392711	0.385432	0.375551																																																																			
																																																																											0.385847	0.388026	0.393001	0.398576	0.407854	0.418893	0.428722	0.434798	0.438158	0.439962	0.441105	0.442384	0.443602	0.444225	0.443754	0.441747	0.438314	0.433751	0.428330	0.422182	0.414856	0.406822																																																															
																																																																							0.525924	0.512829	0.499439	0.495268	0.494748	0.495788	0.497902	0.501031	0.506573	0.512723	0.517172	0.517846	0.515226	0.510745	0.505748	0.501222	0.496115	0.490844	0.486163	0.483119	0.482827	0.482753	0.479915	0.471303	0.456388	0.438885	0.422829	0.412648	0.410274	0.408703																																																											
																																																									0.544220	0.534888	0.578324	0.641561	0.691934	0.700231	0.673615	0.631747	0.592962	0.572687	0.563582	0.560007	0.558306	0.555329	0.552269	0.550686	0.551844	0.557408	0.568931	0.582677	0.594277	0.599852	0.600470	0.598586	0.596438	0.595883	0.595924	0.596033	0.595964	0.595964	0.597692	0.598688	0.595880	0.586167	0.569009	0.548227	0.527973	0.511479	0.496184	0.482271	0.470709	0.462503	0.457915	0.455590	0.454035	0.452448	0.452992	0.453584	0.451395	0.443520	0.429303	0.412522	0.397324	0.387505	0.382473	0.379221	0.374792	0.366604	0.355513	0.342960																																											
																																																								0.615461	0.549969	0.543408	0.591866	0.660660	0.714789	0.722762	0.691612	0.643453	0.599222	0.576590	0.567352	0.564777	0.564339	0.562138	0.559668	0.558837	0.561177	0.568702	0.583274	0.600397	0.614810	0.621902	0.623135	0.621172	0.618344	0.616413	0.613754	0.610772	0.608385	0.607911	0.610845	0.613875	0.613091	0.604673	0.588384	0.568360	0.548988	0.533891	0.521073	0.509573	0.498998	0.488870	0.478857	0.469880	0.463001	0.459740	0.461817	0.465419	0.466048	0.459448	0.445810	0.429136	0.413540	0.402697	0.395669	0.390034	0.383544	0.374275	0.363000	0.350614	0.337812																																										
																																																							0.671586	0.633395	0.606029	0.609666	0.645430	0.691643	0.725345	0.725311	0.694225	0.649732	0.609427	0.588284	0.579822	0.577708	0.577307	0.574348	0.569408	0.565989	0.567568	0.578253	0.600705	0.627268	0.649145	0.658589	0.657944	0.651832	0.644364	0.638600	0.631531	0.624108	0.618241	0.616044	0.618488	0.622165	0.623218	0.618004	0.606695	0.592705	0.579546	0.570624	0.566083	0.562324	0.555548	0.541666	0.519143	0.494115	0.473451	0.463676	0.464585	0.469927	0.473244	0.468916	0.458896	0.446200	0.433381	0.422631	0.413080	0.403696	0.393668	0.382302	0.369879	0.356718	0.343069	0.328817																																									
																																																						0.614557	0.631549	0.656636	0.680656	0.696909	0.712536	0.724715	0.728327	0.717527	0.689093	0.653166	0.621311	0.603525	0.596090	0.593966	0.593024	0.589092	0.581430	0.575196	0.575997	0.590272	0.621674	0.658894	0.689018	0.700614	0.696912	0.685037	0.671443	0.660983	0.649091	0.637001	0.627389	0.622901	0.623818	0.627119	0.629569	0.628244	0.623759	0.618218	0.613629	0.612762	0.618522	0.624266	0.622182	0.603924	0.566546	0.522322	0.484958	0.466801	0.465158	0.471272	0.476829	0.475019	0.469823	0.462742	0.454135	0.444189	0.432368	0.419199	0.405395	0.391518	0.377152	0.362289	0.347050	0.331108	0.312960																																								
																																																					0.549549	0.547636	0.601092	0.676653	0.741441	0.767328	0.765917	0.749864	0.728846	0.709854	0.685067	0.657921	0.634387	0.619732	0.612405	0.609206	0.607269	0.603370	0.595870	0.590177	0.592436	0.609867	0.647052	0.690661	0.725391	0.737612	0.730870	0.714067	0.695412	0.681131	0.665608	0.650104	0.637649	0.631038	0.629907	0.631946	0.634856	0.636719	0.638510	0.640847	0.644082	0.650083	0.664100	0.677265	0.678724	0.656869	0.607566	0.547935	0.497099	0.471997	0.467879	0.474140	0.481157	0.481328	0.480206	0.477990	0.473197	0.464395	0.451536	0.436117	0.419709	0.403493	0.386354	0.368598	0.350887	0.333326	0.314105	0.295532																																							
																																																				0.607286	0.539408	0.538552	0.599942	0.686041	0.759132	0.786603	0.780562	0.757478	0.730852	0.711158	0.689947	0.668010	0.648748	0.634968	0.625132	0.618483	0.614701	0.613087	0.612285	0.614802	0.623667	0.643329	0.679097	0.719443	0.750722	0.760635	0.751845	0.733101	0.712719	0.697056	0.680573	0.664298	0.650990	0.643062	0.639725	0.639617	0.641557	0.644749	0.650338	0.657594	0.665400	0.674537	0.691343	0.706588	0.708711	0.685257	0.631500	0.566196	0.510357	0.482504	0.477106	0.483017	0.490285	0.491134	0.491589	0.491394	0.488448	0.480900	0.469300	0.454766	0.438297	0.420360	0.399277	0.376817	0.355340	0.336495	0.318191	0.301566	0.288446																																						
																																																			0.679204	0.621079	0.579126	0.581470	0.626021	0.687441	0.739925	0.761300	0.760319	0.747485	0.731092	0.717522	0.701400	0.683511	0.666307	0.651071	0.634148	0.619128	0.610873	0.614052	0.628706	0.650111	0.673327	0.695440	0.722694	0.749677	0.768844	0.773053	0.762614	0.744255	0.724901	0.709918	0.694957	0.680451	0.668175	0.659510	0.653354	0.649796	0.649264	0.652505	0.660674	0.671485	0.682203	0.692129	0.707857	0.721295	0.721990	0.698510	0.645999	0.582364	0.527770	0.499958	0.493498	0.497889	0.503824	0.503998	0.503951	0.503602	0.501182	0.495427	0.487811	0.477633	0.463715	0.444266	0.417023	0.386794	0.359285	0.339263	0.324325	0.312908	0.304109	0.297913																																					
																																																		0.659376	0.650433	0.641791	0.638253	0.644744	0.662373	0.684735	0.704811	0.716984	0.725068	0.729594	0.729953	0.725302	0.714737	0.700307	0.684421	0.667528	0.643251	0.619644	0.607055	0.615949	0.648202	0.690848	0.729785	0.753533	0.769071	0.778574	0.782189	0.779321	0.767449	0.750529	0.733459	0.720159	0.707975	0.696525	0.686219	0.677059	0.667715	0.659958	0.656042	0.658439	0.668220	0.681484	0.693837	0.702902	0.714975	0.724039	0.721894	0.699309	0.651564	0.594185	0.544806	0.518938	0.511819	0.514289	0.518235	0.517214	0.515777	0.514299	0.511792	0.508028	0.505485	0.501086	0.490867	0.470215	0.436330	0.397559	0.363461	0.342408	0.331686	0.326542	0.322842	0.317741	0.315074																																				
																																																	0.611606	0.603416	0.624815	0.658124	0.687071	0.697127	0.691938	0.681172	0.673807	0.678336	0.694383	0.713957	0.728830	0.731889	0.725772	0.714076	0.699748	0.683244	0.656440	0.629713	0.616364	0.630157	0.674575	0.731210	0.779794	0.802933	0.807586	0.801868	0.792125	0.783063	0.769961	0.754408	0.739497	0.727884	0.718508	0.710128	0.701770	0.692072	0.679568	0.667576	0.660002	0.660879	0.671187	0.685587	0.698212	0.705073	0.711773	0.714831	0.708908	0.687584	0.646390	0.597705	0.555807	0.533288	0.526405	0.527557	0.529949	0.528093	0.525492	0.522963	0.520297	0.518236	0.520016	0.520580	0.513663	0.492342	0.453458	0.408146	0.368985	0.347160	0.339691	0.339366	0.339565	0.335261	0.330960	0.325681																																			
																																																0.641365	0.589065	0.581423	0.612593	0.659189	0.698585	0.710405	0.699120	0.679146	0.664159	0.666754	0.685169	0.709160	0.728572	0.734584	0.730317	0.720431	0.708839	0.697139	0.677945	0.659507	0.652685	0.669139	0.713169	0.767381	0.812316	0.830956	0.828890	0.815684	0.799621	0.787095	0.772818	0.757446	0.743278	0.732489	0.724989	0.718722	0.711572	0.701081	0.685781	0.670088	0.659051	0.657790	0.667248	0.681049	0.692248	0.695519	0.695413	0.691189	0.680690	0.660620	0.626761	0.588034	0.555029	0.537179	0.532026	0.533414	0.535673	0.534160	0.531606	0.529012	0.526590	0.525555	0.529379	0.532218	0.526919	0.505684	0.465291	0.417833	0.376916	0.354648	0.347848	0.348648	0.349807	0.345745	0.341127	0.335313	0.326215																																		
